tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Newreno Reno,1mb,4.6211808,0.00109702364895,0.0828409947069,4.2263136,0.000550899146106,0.0865095660853
Newreno Reno,1mb,4.5603616,0.00120264582081,0.0843931583748,4.5387296,0.000384798622054,0.0873971386908
Newreno Reno,1mb,5.065552,0.00105005824542,0.083033400657,3.8688864,0.00073061715661,0.0858835164724
Newreno Reno,1mb,4.9462432,0.00100821696829,0.0832890126827,3.9688096,0.000565681961031,0.0854800224933
Newreno Reno,1mb,5.3884512,0.000910142691863,0.0804834035914,3.615376,0.000735852093729,0.0836922575078
Newreno Reno,1mb,4.5178464,0.00123231988817,0.0841502308755,4.5265824,0.000459288653733,0.0856472014263
Newreno Reno,1mb,4.748976,0.00111997760045,0.081261571391,4.314256,0.000501146855303,0.0857452069617
Newreno Reno,2mb,4.6829152,0.00099392992794,0.0835508952493,3.3037088,0.00130781418978,0.0825714993578
Newreno Reno,2mb,4.7399904,0.00105204095946,0.0766915289089,3.2550368,0.00119986724873,0.080595795752
Newreno Reno,2mb,4.605456,0.000974570918082,0.0794138683588,3.2916448,0.00128739113972,0.0836004472753
Newreno Reno,2mb,4.7574624,0.00110053279762,0.0774192551152,3.1435488,0.00155907301218,0.0820019994971
Newreno Reno,2mb,4.720272,0.00105643102386,0.0804131832731,3.1187552,0.00119900881938,0.0832290587686
Newreno Reno,2mb,4.8295136,0.000963789067878,0.0798762609737,3.0962912,0.00144888650389,0.0825306701419
Newreno Reno,2mb,4.5496288,0.0010960105217,0.0790196449053,3.401968,0.00119690270891,0.0828106898019
Newreno Reno,2mb,4.807216,0.000916431794996,0.0768296143475,3.276752,0.00124258254298,0.0792857863654
Newreno Reno,2mb,5.0237024,0.000777772261662,0.0792933352489,3.0335584,0.00156083134807,0.0828341385826
Newreno Reno,2mb,4.160336,0.00127823603427,0.0785257663034,3.9816224,0.000939417978373,0.0846307291096
Newreno Reno,3mb,3.8407648,0.00118998680196,0.090744503076,3.1488736,0.000844772967265,0.0913264852568
Newreno Reno,3mb,3.7238688,0.0012495816133,0.0851673360218,3.3650272,0.000716491661519,0.090389751842
Newreno Reno,3mb,4.3501984,0.000821708389069,0.084065798841,2.7119072,0.00125624291448,0.087174938428
Newreno Reno,3mb,4.327568,0.000864387245486,0.0870356091704,2.621136,0.00142630744849,0.0885189813363
Newreno Reno,3mb,3.9940192,0.00097808669594,0.0844268016081,3.2134368,0.000957036807118,0.0892898209921
Newreno Reno,3mb,4.3311456,0.000997889080791,0.0882712818395,2.62072,0.00126823081801,0.0885409653968
Newreno Reno,3mb,4.2451168,0.000626762770291,0.086538917039,2.9684128,0.00145531891075,0.0870155500715
Newreno Reno,3mb,4.1520992,0.00084087450949,0.0840684357392,2.9574304,0.00140461274827,0.0841928936338
Newreno Reno,3mb,3.8169696,0.000892876587034,0.0863553067483,3.3413152,0.00114407938916,0.0863321353801
Newreno Reno,3mb,3.837104,0.00127763702116,0.085852138595,3.1969632,0.000806095119224,0.0884266121376
Newreno Reno,4mb,3.4890784,0.00121463275221,0.0852990037437,2.648176,0.00197535509359,0.0844385236883
